Block (273, 209): dy = -7, dx = -3
Block (289, 209): dy = 8, dx = -1
Block (305, 209): dy = -7, dx = 5
Block (321, 209): dy = 5, dx = 0
Block (337, 209): dy = 8, dx = -8
Block (1, 225): dy = 8, dx = 8
Block (17, 225): dy = 8, dx = 8
Block (33, 225): dy = 7, dx = -3
Block (49, 225): dy = -3, dx = 8
Block (65, 225): dy = -4, dx = -5
Block (81, 225): dy = -8, dx = -8
Block (97, 225): dy = -8, dx = -8
Block (113, 225): dy = 8, dx = 8
Block (129, 225): dy = 8, dx = 8
Block (145, 225): dy = 8, dx = 8
Block (161, 225): dy = 8, dx = -5
Block (177, 225): dy = 8, dx = -8
Block (193, 225): dy = 7, dx = -2
Block (209, 225): dy = 7, dx = 8
Block (225, 225): dy = 8, dx = 8
Block (241, 225): dy = 8, dx = -5
Block (257, 225): dy = 8, dx = -8
Block (273, 225): dy = -8, dx = 8
Block (289, 225): dy = -1, dx = 7
Block (305, 225): dy = 0, dx = -8
Block (321, 225): dy = -8, dx = 2
Block (337, 225): dy = -5, dx = -8
Block (1, 241): dy = 1, dx = 3
Block (17, 241): dy = -7, dx = 8
Block (33, 241): dy = -8, dx = -5
Block (49, 241): dy = -8, dx = -8
Block (65, 241): dy = -8, dx = -8
Block (81, 241): dy = 8, dx = 8
Block (97, 241): dy = 8, dx = 8
Block (113, 241): dy = 5, dx = 6
Block (129, 241): dy = 5, dx = -6
Block (145, 241): dy = 0, dx = -8
Block (161, 241): dy = -5, dx = -8
Block (177, 241): dy = 3, dx = 8
Block (193, 241): dy = 3, dx = -8
Block (209, 241): dy = 8, dx = -8
Block (225, 241): dy = -8, dx = 8
Block (241, 241): dy = -8, dx = -2
Block (257, 241): dy = 2, dx = -8
Block (273, 241): dy = 8, dx = -8
Block (289, 241): dy = -8, dx = 8
Block (305, 241): dy = 0, dx = 8
Block (321, 241): dy = 2, dx = -5
Block (337, 241): dy = 8, dx = -8
Block (1, 257): dy = -8, dx = 2
Block (17, 257): dy = -8, dx = -8
Block (33, 257): dy = -8, dx = -8
Block (49, 257): dy = 8, dx = 8
Block (65, 257): dy = 8, dx = 8
Block (81, 257): dy = 8, dx = 8
Block (97, 257): dy = 4, dx = 3
Block (113, 257): dy = -8, dx = 1
Block (129, 257): dy = 8, dx = 3
Block (145, 257): dy = 7, dx = -8
Block (161, 257): dy = 5, dx = -8
Block (177, 257): dy = 4, dx = 8
Block (193, 257): dy = 8, dx = 0
Block (209, 257): dy = -8, dx = -8
Block (225, 257): dy = 8, dx = 7
Block (241, 257): dy = -8, dx = 3
Block (257, 257): dy = -8, dx = -8
Block (273, 257): dy = -6, dx = -7
Block (289, 257): dy = 8, dx = -7
Block (305, 257): dy = -8, dx = 8
Block (321, 257): dy = -8, dx = 0
Block (337, 257): dy = 0, dx = -8
Block (1, 273): dy = 0, dx = 2
Block (17, 273): dy = 0, dx = 8
Block (33, 273): dy = 0, dx = 8
Block (49, 273): dy = 0, dx = 8
Block (65, 273): dy = 0, dx = 8
Block (81, 273): dy = -4, dx = 8
Block (97, 273): dy = -8, dx = 2
Block (113, 273): dy = -8, dx = -8
Block (129, 273): dy = 0, dx = 0
Block (145, 273): dy = -7, dx = -8
Block (161, 273): dy = -8, dx = -8
Block (177, 273): dy = -8, dx = 8
Block (193, 273): dy = -2, dx = 0
Block (209, 273): dy = -8, dx = -8
Block (225, 273): dy = -5, dx = 6
Block (241, 273): dy = -7, dx = -6
Block (257, 273): dy = -8, dx = -8
Block (273, 273): dy = -8, dx = 8
Block (289, 273): dy = -4, dx = -8
Block (305, 273): dy = 0, dx = -8
Block (321, 273): dy = -8, dx = 8
Block (337, 273): dy = -8, dx = 0
Block (1, 1): dy = 8, dx = 0
Block (17, 1): dy = 8, dx = -7
Block (33, 1): dy = 8, dx = -7
Block (49, 1): dy = 8, dx = -8
Block (65, 1): dy = 0, dx = 8
Block (81, 1): dy = 1, dx = 4
Block (97, 1): dy = 8, dx = 8
Block (113, 1): dy = 8, dx = 8
Block (129, 1): dy = 8, dx = 1
Block (145, 1): dy = 8, dx = -8
Block (161, 1): dy = 8, dx = -8
Block (177, 1): dy = 8, dx = 8
Block (193, 1): dy = 8, dx = 8
Block (209, 1): dy = 8, dx = -2
Block (225, 1): dy = 5, dx = 8
Block (241, 1): dy = 0, dx = 8
Block (257, 1): dy = 2, dx = 1
Block (273, 1): dy = 3, dx = -5
Block (289, 1): dy = 8, dx = -8
Block (305, 1): dy = 8, dx = -7
Block (321, 1): dy = 2, dx = -4
Block (337, 1): dy = 3, dx = 0
Block (1, 17): dy = 4, dx = 0
Block (17, 17): dy = 5, dx = 8
Block (33, 17): dy = 8, dx = -6
Block (49, 17): dy = 7, dx = -8
Block (65, 17): dy = 8, dx = -8
Block (81, 17): dy = -8, dx = 8
Block (97, 17): dy = -8, dx = 7
Block (113, 17): dy = 7, dx = 8
Block (129, 17): dy = 4, dx = 8
Block (145, 17): dy = 4, dx = -7
Block (161, 17): dy = 4, dx = -8
Block (177, 17): dy = -2, dx = 8
Block (193, 17): dy = 0, dx = 8
Block (209, 17): dy = 0, dx = -8
Block (225, 17): dy = -1, dx = -8
Block (241, 17): dy = -8, dx = 8
Block (257, 17): dy = -8, dx = 8
Block (273, 17): dy = -5, dx = 7
Block (289, 17): dy = 1, dx = -3
Block (305, 17): dy = 8, dx = -8
Block (321, 17): dy = 8, dx = -1
Block (337, 17): dy = -5, dx = -6
Block (1, 33): dy = -7, dx = 0
Block (17, 33): dy = -7, dx = -2
Block (33, 33): dy = 5, dx = -8
Block (49, 33): dy = -7, dx = -8
Block (65, 33): dy = 8, dx = -7
Block (81, 33): dy = 8, dx = -8
Block (97, 33): dy = -8, dx = 8
Block (113, 33): dy = 0, dx = 8
Block (129, 33): dy = -8, dx = 7
Block (145, 33): dy = -8, dx = -7
Block (161, 33): dy = -8, dx = -8
Block (177, 33): dy = 8, dx = -8
Block (193, 33): dy = -8, dx = 8
Block (209, 33): dy = -8, dx = -6
Block (225, 33): dy = -8, dx = 7
Block (241, 33): dy = 8, dx = -8
Block (257, 33): dy = -8, dx = 8
Block (273, 33): dy = -8, dx = 8
Block (289, 33): dy = 0, dx = 8
Block (305, 33): dy = -8, dx = 8
Block (321, 33): dy = 7, dx = 0
Block (337, 33): dy = 4, dx = 0
Block (1, 49): dy = 2, dx = 0
Block (17, 49): dy = -8, dx = 7
Block (33, 49): dy = -7, dx = 8
Block (49, 49): dy = -2, dx = -8
Block (65, 49): dy = 8, dx = -8
Block (81, 49): dy = 8, dx = -8
Block (97, 49): dy = 8, dx = -8
Block (113, 49): dy = -8, dx = 8
Block (129, 49): dy = 5, dx = 8
Block (145, 49): dy = 6, dx = 1
Block (161, 49): dy = 0, dx = -8
Block (177, 49): dy = -7, dx = -8
Block (193, 49): dy = -7, dx = -8
Block (209, 49): dy = -7, dx = 8
Block (225, 49): dy = -3, dx = 3
Block (241, 49): dy = -4, dx = -8
Block (257, 49): dy = 0, dx = 3
Block (273, 49): dy = -8, dx = 8
Block (289, 49): dy = -8, dx = 8
Block (305, 49): dy = -8, dx = 2
Block (321, 49): dy = -8, dx = 2
Block (337, 49): dy = 8, dx = 0
Block (1, 65): dy = 5, dx = 0
Block (17, 65): dy = 0, dx = 4
Block (33, 65): dy = 0, dx = -8
Block (49, 65): dy = 5, dx = -3
Block (65, 65): dy = 7, dx = -8
Block (81, 65): dy = 7, dx = 6
Block (97, 65): dy = 7, dx = -8
Block (113, 65): dy = 8, dx = -8
Block (129, 65): dy = -8, dx = 8
Block (145, 65): dy = -8, dx = 1
Block (161, 65): dy = 8, dx = 7
Block (177, 65): dy = 8, dx = -8
Block (193, 65): dy = 4, dx = -8
Block (209, 65): dy = 8, dx = 8
Block (225, 65): dy = 8, dx = -6
Block (241, 65): dy = -8, dx = -8
Block (257, 65): dy = 8, dx = -7
Block (273, 65): dy = -7, dx = 8
Block (289, 65): dy = -8, dx = 8
Block (305, 65): dy = -8, dx = 8
Block (321, 65): dy = -8, dx = 8
Block (337, 65): dy = -7, dx = 0
Block (1, 81): dy = 3, dx = 0
Block (17, 81): dy = -1, dx = -5
Block (33, 81): dy = -6, dx = -8
Block (49, 81): dy = 0, dx = 0
Block (65, 81): dy = -8, dx = 5
Block (81, 81): dy = 4, dx = -8
Block (97, 81): dy = 8, dx = -8
Block (113, 81): dy = 8, dx = -8
Block (129, 81): dy = 8, dx = -8
Block (145, 81): dy = -8, dx = 8
Block (161, 81): dy = 1, dx = 5
Block (177, 81): dy = -8, dx = 8
Block (193, 81): dy = -8, dx = 2
Block (209, 81): dy = -8, dx = -8
Block (225, 81): dy = 1, dx = -6
Block (241, 81): dy = -8, dx = -8
Block (257, 81): dy = 0, dx = -8
Block (273, 81): dy = 6, dx = -3
Block (289, 81): dy = 5, dx = -8
Block (305, 81): dy = -8, dx = 8
Block (321, 81): dy = -8, dx = 8
Block (337, 81): dy = -8, dx = -4
Block (1, 97): dy = -7, dx = 0
Block (17, 97): dy = 7, dx = 7
Block (33, 97): dy = -8, dx = -1
Block (49, 97): dy = -1, dx = 5
Block (65, 97): dy = -3, dx = -8
Block (81, 97): dy = 6, dx = -7
Block (97, 97): dy = 7, dx = -8
Block (113, 97): dy = 7, dx = 0
Block (129, 97): dy = 3, dx = -8
Block (145, 97): dy = -8, dx = 8
Block (161, 97): dy = -7, dx = -6
Block (177, 97): dy = 4, dx = -8
Block (193, 97): dy = 8, dx = -8
Block (209, 97): dy = 8, dx = 8
Block (225, 97): dy = -8, dx = 8
Block (241, 97): dy = -7, dx = 1
Block (257, 97): dy = -7, dx = -8
Block (273, 97): dy = -8, dx = -6
Block (289, 97): dy = -8, dx = -8
Block (305, 97): dy = 8, dx = 8
Block (321, 97): dy = 8, dx = -6
Block (337, 97): dy = -8, dx = -1
Block (1, 113): dy = -8, dx = 0
Block (17, 113): dy = 0, dx = 6
Block (33, 113): dy = 0, dx = -8
Block (49, 113): dy = -4, dx = -7
Block (65, 113): dy = -8, dx = -5
Block (81, 113): dy = 8, dx = -4
Block (97, 113): dy = -8, dx = 7
Block (113, 113): dy = -8, dx = 8
Block (129, 113): dy = 8, dx = 5
Block (145, 113): dy = 8, dx = -8
Block (161, 113): dy = 8, dx = -8
Block (177, 113): dy = -8, dx = 0
Block (193, 113): dy = 8, dx = 8
Block (209, 113): dy = -4, dx = 0
Block (225, 113): dy = -7, dx = 8
Block (241, 113): dy = 8, dx = 1
Block (257, 113): dy = 8, dx = -8
Block (273, 113): dy = 8, dx = -1
Block (289, 113): dy = -8, dx = 4
Block (305, 113): dy = -4, dx = 8
Block (321, 113): dy = 8, dx = 8
Block (337, 113): dy = 8, dx = -6
Block (1, 129): dy = -7, dx = 0
Block (17, 129): dy = -8, dx = 7
Block (33, 129): dy = 3, dx = 8
Block (49, 129): dy = 6, dx = -8
Block (65, 129): dy = 8, dx = 8
Block (81, 129): dy = 8, dx = 8
Block (97, 129): dy = 6, dx = 3
Block (113, 129): dy = 8, dx = 8
Block (129, 129): dy = -1, dx = 8
Block (145, 129): dy = -1, dx = -8
Block (161, 129): dy = -7, dx = -8
Block (177, 129): dy = -8, dx = 7
Block (193, 129): dy = -1, dx = 7
Block (209, 129): dy = -8, dx = 8
Block (225, 129): dy = -8, dx = 8
Block (241, 129): dy = -4, dx = 1
Block (257, 129): dy = 8, dx = -8
Block (273, 129): dy = 8, dx = 8
Block (289, 129): dy = 8, dx = 7
Block (305, 129): dy = 7, dx = 8
Block (321, 129): dy = 5, dx = 8
Block (337, 129): dy = -1, dx = 0
Block (1, 145): dy = -7, dx = 0
Block (17, 145): dy = -4, dx = -8
Block (33, 145): dy = 8, dx = 8
Block (49, 145): dy = 2, dx = -3
Block (65, 145): dy = 0, dx = -8
Block (81, 145): dy = 8, dx = 2
Block (97, 145): dy = 8, dx = -4
Block (113, 145): dy = 0, dx = 8
Block (129, 145): dy = 6, dx = -8
Block (145, 145): dy = 7, dx = 8
Block (161, 145): dy = 8, dx = 8
Block (177, 145): dy = 7, dx = -4
Block (193, 145): dy = 7, dx = -8
Block (209, 145): dy = 8, dx = 8
Block (225, 145): dy = -6, dx = 2
Block (241, 145): dy = 2, dx = 1
Block (257, 145): dy = 4, dx = -6
Block (273, 145): dy = 3, dx = -8
Block (289, 145): dy = 4, dx = -8
Block (305, 145): dy = 5, dx = 3
Block (321, 145): dy = -8, dx = 0
Block (337, 145): dy = -8, dx = -1
Block (1, 161): dy = -1, dx = 4
Block (17, 161): dy = 8, dx = 7
Block (33, 161): dy = 7, dx = -4
Block (49, 161): dy = -7, dx = 0
Block (65, 161): dy = 8, dx = -8
Block (81, 161): dy = 5, dx = 5
Block (97, 161): dy = 7, dx = -8
Block (113, 161): dy = -8, dx = 8
Block (129, 161): dy = 8, dx = 8
Block (145, 161): dy = 3, dx = 5
Block (161, 161): dy = -1, dx = 8
Block (177, 161): dy = 0, dx = -1
Block (193, 161): dy = 4, dx = 6
Block (209, 161): dy = -6, dx = 8
Block (225, 161): dy = -7, dx = 5
Block (241, 161): dy = -7, dx = -7
Block (257, 161): dy = -6, dx = -6
Block (273, 161): dy = -8, dx = -7
Block (289, 161): dy = -8, dx = -8
Block (305, 161): dy = 2, dx = 2
Block (321, 161): dy = -5, dx = -7
Block (337, 161): dy = -3, dx = -4
Block (1, 177): dy = 8, dx = 0
Block (17, 177): dy = -8, dx = 7
Block (33, 177): dy = -8, dx = -4
Block (49, 177): dy = 8, dx = -7
Block (65, 177): dy = 6, dx = 0
Block (81, 177): dy = 6, dx = -8
Block (97, 177): dy = -8, dx = -8
Block (113, 177): dy = 8, dx = 0
Block (129, 177): dy = -5, dx = 8
Block (145, 177): dy = -7, dx = -3
Block (161, 177): dy = -6, dx = 8
Block (177, 177): dy = 8, dx = 0
Block (193, 177): dy = 8, dx = 2
Block (209, 177): dy = 0, dx = -8
Block (225, 177): dy = 6, dx = -8
Block (241, 177): dy = -4, dx = 8
Block (257, 177): dy = 2, dx = -8
Block (273, 177): dy = -2, dx = -5
Block (289, 177): dy = 4, dx = -7
Block (305, 177): dy = -4, dx = 3
Block (321, 177): dy = 0, dx = -8
Block (337, 177): dy = 4, dx = -6
Block (1, 193): dy = 8, dx = 2
Block (17, 193): dy = 5, dx = -4
Block (33, 193): dy = 8, dx = 8
Block (49, 193): dy = 8, dx = 8
Block (65, 193): dy = 8, dx = -5
Block (81, 193): dy = 8, dx = 1
Block (97, 193): dy = 8, dx = -5
Block (113, 193): dy = 4, dx = -8
Block (129, 193): dy = 1, dx = 4
Block (145, 193): dy = 0, dx = -4
Block (161, 193): dy = -1, dx = 8
Block (177, 193): dy = 0, dx = 8
Block (193, 193): dy = 0, dx = -6
Block (209, 193): dy = 4, dx = 0
Block (225, 193): dy = 4, dx = -7
Block (241, 193): dy = 4, dx = 8
Block (257, 193): dy = 0, dx = 8
Block (273, 193): dy = 0, dx = -4
Block (289, 193): dy = 3, dx = -8
Block (305, 193): dy = -7, dx = -5
Block (321, 193): dy = -8, dx = 8
Block (337, 193): dy = -8, dx = -8
Block (1, 209): dy = 7, dx = 2
Block (17, 209): dy = 8, dx = 7
Block (33, 209): dy = 7, dx = 8
Block (49, 209): dy = 7, dx = -8
Block (65, 209): dy = -2, dx = 0
Block (81, 209): dy = -2, dx = -8
Block (97, 209): dy = -7, dx = -6
Block (113, 209): dy = -8, dx = -8
Block (129, 209): dy = -8, dx = 8
Block (145, 209): dy = 8, dx = 2
Block (161, 209): dy = 8, dx = 0
Block (177, 209): dy = 8, dx = 8
Block (193, 209): dy = 8, dx = -8
Block (209, 209): dy = 2, dx = 5
Block (225, 209): dy = 2, dx = -7
Block (241, 209): dy = -8, dx = 8
Block (257, 209): dy = -8, dx = 8
Block (273, 209): dy = -8, dx = 2
Block (289, 209): dy = -8, dx = -8
Block (305, 209): dy = -8, dx = 5
Block (321, 209): dy = -8, dx = 2
Block (337, 209): dy = 8, dx = -7
Block (1, 225): dy = 8, dx = 8
Block (17, 225): dy = -2, dx = 8
Block (33, 225): dy = -7, dx = 8
Block (49, 225): dy = -6, dx = -5
Block (65, 225): dy = 8, dx = 7
Block (81, 225): dy = 8, dx = 4
Block (97, 225): dy = 3, dx = -5
Block (113, 225): dy = -3, dx = -4
Block (129, 225): dy = -4, dx = 6
Block (145, 225): dy = 6, dx = -8
Block (161, 225): dy = 7, dx = 8
Block (177, 225): dy = -5, dx = 7
Block (193, 225): dy = -1, dx = -4
Block (209, 225): dy = -1, dx = -8
Block (225, 225): dy = 8, dx = 6
Block (241, 225): dy = -4, dx = -1
Block (257, 225): dy = -6, dx = 8
Block (273, 225): dy = -3, dx = 3
Block (289, 225): dy = -3, dx = -8
Block (305, 225): dy = 3, dx = 8
Block (321, 225): dy = 3, dx = -2
Block (337, 225): dy = 7, dx = 0
Block (1, 241): dy = 8, dx = 2
Block (17, 241): dy = 3, dx = 8
Block (33, 241): dy = 5, dx = 8
Block (49, 241): dy = 8, dx = 8
Block (65, 241): dy = 8, dx = 8
Block (81, 241): dy = 7, dx = 8
Block (97, 241): dy = 6, dx = -1
Block (113, 241): dy = 8, dx = 8
Block (129, 241): dy = -8, dx = 4
Block (145, 241): dy = -8, dx = 2
Block (161, 241): dy = -8, dx = 8
Block (177, 241): dy = -8, dx = -8
Block (193, 241): dy = 4, dx = 8
Block (209, 241): dy = 3, dx = -5
Block (225, 241): dy = -4, dx = -8
Block (241, 241): dy = -8, dx = -8
Block (257, 241): dy = -8, dx = -8
Block (273, 241): dy = -8, dx = -8
Block (289, 241): dy = 7, dx = 8
Block (305, 241): dy = -5, dx = 8
Block (321, 241): dy = -5, dx = -5
Block (337, 241): dy = 0, dx = -3
Block (1, 257): dy = -8, dx = 2
Block (17, 257): dy = -5, dx = 8
Block (33, 257): dy = -5, dx = 8
Block (49, 257): dy = -2, dx = 5
Block (65, 257): dy = 8, dx = 0
Block (81, 257): dy = 2, dx = 5
Block (97, 257): dy = 8, dx = -8
Block (113, 257): dy = 3, dx = -8
Block (129, 257): dy = 0, dx = 5
Block (145, 257): dy = -3, dx = -4
Block (161, 257): dy = -3, dx = 8
Block (177, 257): dy = 0, dx = 3
Block (193, 257): dy = 8, dx = -4
Block (209, 257): dy = 8, dx = 8
Block (225, 257): dy = 8, dx = -8
Block (241, 257): dy = 0, dx = -3
Block (257, 257): dy = -4, dx = -8
Block (273, 257): dy = 2, dx = 8
Block (289, 257): dy = 5, dx = 4
Block (305, 257): dy = -8, dx = -3
Block (321, 257): dy = -7, dx = 8
Block (337, 257): dy = -7, dx = -3
Block (1, 273): dy = 0, dx = 8
Block (17, 273): dy = 0, dx = -2
Block (33, 273): dy = -3, dx = 4
Block (49, 273): dy = -7, dx = 8
Block (65, 273): dy = -3, dx = 2
Block (81, 273): dy = -6, dx = 8
Block (97, 273): dy = -4, dx = -5
Block (113, 273): dy = -4, dx = -8
Block (129, 273): dy = -5, dx = 4
Block (145, 273): dy = -8, dx = -3
Block (161, 273): dy = -8, dx = 2
Block (177, 273): dy = -5, dx = 6
Block (193, 273): dy = -8, dx = -4
Block (209, 273): dy = 0, dx = 4
Block (225, 273): dy = 0, dx = -8
Block (241, 273): dy = -8, dx = -8
Block (257, 273): dy = 0, dx = 7
Block (273, 273): dy = -5, dx = 8
Block (289, 273): dy = -7, dx = 4
Block (305, 273): dy = 0, dx = -7
Block (321, 273): dy = 0, dx = 6
Block (337, 273): dy = 0, dx = 0
Block (1, 1): dy = 2, dx = 2
Block (17, 1): dy = 2, dx = 5
Block (33, 1): dy = 7, dx = 7
Block (49, 1): dy = 7, dx = -1
Block (65, 1): dy = 3, dx = -8
Block (81, 1): dy = 0, dx = -8
Block (97, 1): dy = 8, dx = 8
Block (113, 1): dy = 5, dx = 8
Block (129, 1): dy = 4, dx = -6
Block (145, 1): dy = 0, dx = -8
Block (161, 1): dy = 0, dx = -8
Block (177, 1): dy = 0, dx = 8
Block (193, 1): dy = 0, dx = 8
Block (209, 1): dy = 0, dx = 4
Block (225, 1): dy = 5, dx = -6
Block (241, 1): dy = 8, dx = -8
Block (257, 1): dy = 7, dx = 8
Block (273, 1): dy = 8, dx = -6
Block (289, 1): dy = 0, dx = 4
Block (305, 1): dy = 3, dx = -8
Block (321, 1): dy = 8, dx = 6
Block (337, 1): dy = 0, dx = 0
Block (1, 17): dy = 6, dx = 8
Block (17, 17): dy = 6, dx = -4
Block (33, 17): dy = 2, dx = -8
Block (49, 17): dy = -7, dx = -3
Block (65, 17): dy = 8, dx = 8
Block (81, 17): dy = 8, dx = -5
Block (97, 17): dy = -3, dx = 4
Block (113, 17): dy = -5, dx = -5
Block (129, 17): dy = -8, dx = -8
Block (145, 17): dy = -8, dx = -8
Block (161, 17): dy = -8, dx = -8
Block (177, 17): dy = 8, dx = 4
Block (193, 17): dy = -8, dx = 8
Block (209, 17): dy = -8, dx = 8
Block (225, 17): dy = 3, dx = 8
Block (241, 17): dy = 6, dx = -5
Block (257, 17): dy = -8, dx = 8
Block (273, 17): dy = 2, dx = 2
Block (289, 17): dy = 8, dx = -8
Block (305, 17): dy = 3, dx = 5
Block (321, 17): dy = 6, dx = -8
Block (337, 17): dy = 4, dx = 0
Block (1, 33): dy = -6, dx = 2
Block (17, 33): dy = -8, dx = -4
Block (33, 33): dy = 7, dx = 8
Block (49, 33): dy = 7, dx = -6
Block (65, 33): dy = 2, dx = -8
Block (81, 33): dy = -7, dx = -7
Block (97, 33): dy = -8, dx = -8
Block (113, 33): dy = -8, dx = -8
Block (129, 33): dy = -8, dx = -8
Block (145, 33): dy = -8, dx = -8
Block (161, 33): dy = 0, dx = -8
Block (177, 33): dy = -8, dx = 4
Block (193, 33): dy = -8, dx = 8
Block (209, 33): dy = -8, dx = 8
Block (225, 33): dy = -8, dx = 8
Block (241, 33): dy = -7, dx = -2
Block (257, 33): dy = 7, dx = -3
Block (273, 33): dy = -7, dx = 8
Block (289, 33): dy = -5, dx = -5
Block (305, 33): dy = 8, dx = -8
Block (321, 33): dy = -8, dx = -6
Block (337, 33): dy = -8, dx = 0
Block (1, 49): dy = 7, dx = 2
Block (17, 49): dy = 1, dx = 4
Block (33, 49): dy = -8, dx = 8
Block (49, 49): dy = -8, dx = -7
Block (65, 49): dy = -8, dx = -8
Block (81, 49): dy = 8, dx = 8
Block (97, 49): dy = 8, dx = -1
Block (113, 49): dy = 8, dx = -8
Block (129, 49): dy = 8, dx = -8
Block (145, 49): dy = -5, dx = 0
Block (161, 49): dy = 8, dx = -8
Block (177, 49): dy = 6, dx = -6
Block (193, 49): dy = 0, dx = 4
Block (209, 49): dy = -8, dx = 3
Block (225, 49): dy = -8, dx = 8
Block (241, 49): dy = -8, dx = 8
Block (257, 49): dy = 2, dx = 8
Block (273, 49): dy = 4, dx = -5
Block (289, 49): dy = -6, dx = 8
Block (305, 49): dy = 0, dx = -5
Block (321, 49): dy = 8, dx = -8
Block (337, 49): dy = 0, dx = 0
Block (1, 65): dy = -8, dx = 2
Block (17, 65): dy = -8, dx = -8
Block (33, 65): dy = -8, dx = -8
Block (49, 65): dy = 8, dx = 8
Block (65, 65): dy = 8, dx = 5
Block (81, 65): dy = 4, dx = 0
Block (97, 65): dy = -2, dx = -3
Block (113, 65): dy = -4, dx = -8
Block (129, 65): dy = 6, dx = -8
Block (145, 65): dy = 8, dx = 8
Block (161, 65): dy = 8, dx = 8
Block (177, 65): dy = 8, dx = 2
Block (193, 65): dy = 8, dx = -8
Block (209, 65): dy = 8, dx = -8
Block (225, 65): dy = 8, dx = -8
Block (241, 65): dy = -7, dx = 8
Block (257, 65): dy = -8, dx = 8
Block (273, 65): dy = -8, dx = -3
Block (289, 65): dy = 8, dx = 0
Block (305, 65): dy = -7, dx = 6
Block (321, 65): dy = 4, dx = 0
Block (337, 65): dy = 8, dx = -8
Block (1, 81): dy = 8, dx = 8
Block (17, 81): dy = 8, dx = 8
Block (33, 81): dy = 7, dx = -4
Block (49, 81): dy = -3, dx = 8
Block (65, 81): dy = -3, dx = -8
Block (81, 81): dy = -8, dx = -8
Block (97, 81): dy = -8, dx = -8
Block (113, 81): dy = 8, dx = 8
Block (129, 81): dy = 8, dx = 8
Block (145, 81): dy = 8, dx = 8
Block (161, 81): dy = 8, dx = -2
Block (177, 81): dy = 8, dx = -8
Block (193, 81): dy = 8, dx = -8
Block (209, 81): dy = 5, dx = -4
Block (225, 81): dy = 6, dx = 8
Block (241, 81): dy = 6, dx = -4
Block (257, 81): dy = 8, dx = -8
Block (273, 81): dy = -8, dx = 8
Block (289, 81): dy = -2, dx = 6
Block (305, 81): dy = -1, dx = -8
Block (321, 81): dy = -8, dx = 2
Block (337, 81): dy = -5, dx = -8
Block (1, 97): dy = 0, dx = 2
Block (17, 97): dy = -2, dx = -7
Block (33, 97): dy = -8, dx = -5
Block (49, 97): dy = -8, dx = -8
Block (65, 97): dy = -8, dx = -8
Block (81, 97): dy = 8, dx = 8
Block (97, 97): dy = 8, dx = 8
Block (113, 97): dy = 4, dx = 8
Block (129, 97): dy = 3, dx = -2
Block (145, 97): dy = 0, dx = -8
Block (161, 97): dy = -6, dx = -4
Block (177, 97): dy = -8, dx = -8
Block (193, 97): dy = 7, dx = 8
Block (209, 97): dy = 8, dx = 0
Block (225, 97): dy = 5, dx = -8
Block (241, 97): dy = -8, dx = 4
Block (257, 97): dy = 5, dx = -7
Block (273, 97): dy = 8, dx = -8
Block (289, 97): dy = -8, dx = 8
Block (305, 97): dy = -1, dx = 8
Block (321, 97): dy = 1, dx = -5
Block (337, 97): dy = 8, dx = -8
Block (1, 113): dy = -8, dx = 2
Block (17, 113): dy = -8, dx = -8
Block (33, 113): dy = 8, dx = 6
Block (49, 113): dy = 8, dx = 8
Block (65, 113): dy = 8, dx = 8
Block (81, 113): dy = 8, dx = 8
Block (97, 113): dy = 4, dx = 3
Block (113, 113): dy = 0, dx = -8
Block (129, 113): dy = 8, dx = 8
Block (145, 113): dy = 8, dx = -5
Block (161, 113): dy = 5, dx = -8
Block (177, 113): dy = 0, dx = -8
Block (193, 113): dy = 8, dx = 8
Block (209, 113): dy = 8, dx = -4
Block (225, 113): dy = -8, dx = -8
Block (241, 113): dy = -8, dx = 7
Block (257, 113): dy = -8, dx = -7
Block (273, 113): dy = -6, dx = -8
Block (289, 113): dy = 8, dx = -6
Block (305, 113): dy = -8, dx = 8
Block (321, 113): dy = -4, dx = 5
Block (337, 113): dy = 4, dx = -4
Block (1, 129): dy = 8, dx = 8
Block (17, 129): dy = 8, dx = 8
Block (33, 129): dy = 8, dx = 8
Block (49, 129): dy = 7, dx = 8
Block (65, 129): dy = 0, dx = 8
Block (81, 129): dy = 0, dx = 0
Block (97, 129): dy = -8, dx = 3
Block (113, 129): dy = -8, dx = -8
Block (129, 129): dy = 8, dx = 5
Block (145, 129): dy = 8, dx = -8
Block (161, 129): dy = -8, dx = -8
Block (177, 129): dy = -8, dx = -8
Block (193, 129): dy = 8, dx = 8
Block (209, 129): dy = 8, dx = -5
Block (225, 129): dy = -7, dx = 8
Block (241, 129): dy = -7, dx = -4
Block (257, 129): dy = -8, dx = -8
Block (273, 129): dy = -8, dx = 8
Block (289, 129): dy = 5, dx = 1
Block (305, 129): dy = 4, dx = -7
Block (321, 129): dy = -8, dx = 8
Block (337, 129): dy = -8, dx = 0
Block (1, 145): dy = -8, dx = 0
Block (17, 145): dy = 7, dx = -7
Block (33, 145): dy = 8, dx = -7
Block (49, 145): dy = -8, dx = -8
Block (65, 145): dy = -8, dx = -8
Block (81, 145): dy = -5, dx = 6
Block (97, 145): dy = 8, dx = 8
Block (113, 145): dy = 8, dx = 8
Block (129, 145): dy = 8, dx = 8
Block (145, 145): dy = 8, dx = 0
Block (161, 145): dy = 8, dx = -8
Block (177, 145): dy = 8, dx = -8
Block (193, 145): dy = 8, dx = 8
